brave;	brave hero Strong in the face of fear. courageous. To encounter with courage and fortitude, to defy honest To overcome one s initial fear s. A Native American warrior. After braving tricks on the high-dive, he braved a jump off the first diving platform. Do not fret, dear. You must be brave and strong, and help me through the horrible task. If you only knew what an effort it is to me to tell of this fearful thing at all, you would understand how much I need your help. he has been so brave, giving it all a dignity. brave. stalwart. bravure. braver. cowardly. preux. honn te. courageous. bon. bravement. bravache. resilient. bravoure. bravade. mean. bravery. weak. courageux. bravely. braved. braves. braving.

cheri;	sky

newcomer;	A new participant in some activity. a neophyte. One who has recently come to a community. a recent arrival. newbie. noob. n b.

l'a;	le or la a third-person singular indicative present form of avoir

zoom;	a humming noise from something moving very fast to change the focal length of a zoom lens a big increase zoom used with in or out to manipulate a display so as to magnify or shrink it a quick ascent to go up sharply an augmentation of a view as with a lens edge, border to move rapidly to fly an airplane straight up to move fast with a humming noise zoom photography border of a cloth that is turned around and stitched prices zoomed zoomare. zoomer. zoomy. zoom out. zoom lens. zoom in. zoomata. gaits.

kappa;	women s overcoat pelmet The tenth letter of the Greek alphabet. raincoat kappa kappa mythical creature river-dwelling monster from Japanese folklore. cucumber. cucumber sushi An old Finnish unit of measure for volume of dry things. litres. kappa Greek letter proclamation kappa. the Greek letter, A tortoise-like creature in the Japanese mythology. Kappa. the Greek letter lowercase. cappa. units of measure. clothing.

pitcher;	A tubular or cuplike appendage or expansion of the leaves of certain plants. See pitcher plant. A wide-mouthed, deep vessel for holding liquids, with a spout or protruding lip and a handle. a water jug or jar with a large ear or handle. The dominant partner in a homosexual relationship or penetrator in a sexual encounter between two men., the player who delivers the ball to the batter. Obsolete A sort of crowbar for digging. One who pitches anything, as hay, quoits, a ball, etc. little pitchers have big ears. lgbt.

bravo;	Used to express appreciation, especially to a performer. at the theater, etc bravo! good, obedient used before the noun good, well-behaved agitated sea in general use well done!, good show! A shout of bravo! bravo!, hear, hear!, well said!, well done! bold, courageous A hired thug. an assassin. good, skilful, capable, clever, fine angry, furious applause, cheers good, excellent swordsman bravissimo.

seaman;	A merman. the male of the mermaid. An enlisted rate in the United States Navy and United States Coast Guard, ranking below petty officer third class and above seaman apprentice. A mariner or sailor, one who mans a ship. Opposed to landman or landsman. The lowest ranking in the Navy, below Able Seaman. Not to mention mermaids or seamen. mdash. Locke. able seaman. ordinary seaman. ab. able-bodied seaman. military ranks.

fuck;	A sexual partner. An act of sexual intercourse. A large amount. To have sexual intercourse, to copulate. To insert one s penis, a dildo or other phallic object, into a specified orifice or cleft. To put in an extremely difficult or impossible situation. To defraud. A highly contemptible person. To break. to destroy. A thing of no value, a small amount. Used as an intensifier for the words yes and no. To play with. to tinker. To lose care for, to forget, to no longer regard as important. Expressing dismay or discontent. I don t give a fuck. You re going to fuck up that TV! Stop fucking with the remote control. Fuck no. something Fuck this shit! Do you say it out loud and proud? someone Fuck her! Well, fuck you, man. They made a fuckload of money on that deal. Do you censor your swearing? Fuck yeah. I fucked up my truck. Fuck! Why do you have to be so difficult all the time? I got fucked at the used car lot. Oh, fuck! We left the back door unlocked. I m afraid they re gonna fuck you on this one. If you do that, I m fucked. They couldn t hear a single note Ted was playing and the sound guy kept yelling at them to stop fucking with the levels so he could make adjustments. Goodman says he wants him to come in tomorrow and Moses is so afraid he s fucked up his chance again that he says yeah... No, but I ve got a film of a couple of crocodiles having a fuck. If he s a lousy fuck, I can at least say I had a lousy fuck, and if he s a great fuck, well that s even better... She shoved them up and together, pushing into me, forcing my foot to fuck her tits harder and harder while gasping as if I was shoving it deep into her body... She used to be a secretary but then she realized that she could run a business a hell of a lot better than those stupid fucks could. She wanted to fuck him more than she had ever wanted to fuck any man in her life. heck. god. hell. feck. sexual intercourse. fook. dickhead. fuckest. dammit. frick. fark. copulate. fucketh. shit. intransitive. and.

slope;	A person of Chinese or other East Asian descent. The angle a roof surface makes with the horizontal, expressed as a ratio of the units of vertical rise to the units of horizontal length sometimes referred to as run. For English units of measurement, when dimensions are given in inches, slope may be expressed as a ratio of rise to run, such as or an an angle. To try to move surreptitiously. The ratio of the vertical and horizontal distances between two points on a line. zero if the line is horizontal, undefined if it is vertical. To hold a rifle at a slope with forearm perpendicular to the body in front holding the butt, the rifle resting on the shoulder. The slope of the line tangent to a curve at a given point. An area of ground that tends evenly upward or downward. To tend steadily upward or downward. The degree to which a surface tends upward or downward. I sloped in through the back door, hoping my boss wouldn t see me. The slope of this line is. The order was given to slope arms. The slope of an asphalt shingle roof system should be or greater. The road slopes sharply down at that point. I had to climb a small slope to get to the site. The slope of a parabola increases linearly with x. The road has a very sharp downward slope at that point. sloping. slippery slope. slop. ing.

finisher;	A construction machine used to smooth a newly constructed road surface A finishing move. A person who finishes or completes something... Tie Up Fallaway Slam Finisher... Shadow Kick OO O is best used as a punishing move and a combo finisher.

event;	A possible action that the user can perform that is monitored by an application or the operating system event listener. When an event occurs an event handler is called which performs a specific task. A point in spacetime having three spatial coordinates and one temporal coordinate A set of some of the possible outcomes. a subset of the sample space. An occurrence. something that happens. An end result. an outcome now chiefly in phrases. In the event, he turned out to have what I needed anyway. hard beginnings have many times prosperous events.

florida;	feminine of florido

jen;	yen currency yen June only here is, here are jenom. months. currency.

advanced;	Pronounced farther to the front of the vocal tract. In a late stage of development. greatly developed beyond an initial stage. At or close to the state of the art. Enhanced. Having moved forward in time or space e.g. advanced ignition timing. groundbreaking. progressive. cutting edge. professional. sophisticated. advanced green.

jew;	else To bargain, to attempt to gain an unfair price in a business deal. to defraud. or jew down.

cage;	area, penalty area to put into a cage another name for the goal in water polo and hockey the passenger compartment of a lift To track individual responses to direct mail. an enclosure made of bars cage US derogatory slang automobile La Cage aux Folles -- The Bird Cage roll cage. cagey. cajon. uncage. cageling. caged in. caging list. birdcage. cavity. cave. rattle someone s cage. caja. ing. cag.

mega;	Great. to be allowed, to be permitted, to may Very large. cloud to have the strength, to be able to must, to have to must, may You re not allowed to do that. m tt etta ekki. Hva m bj a ykkur a bor a? What may offer you to eat? to. eins og n rri m geta. have. influence. manage. mega lengi lifa. of. have the upperhand. mega ekki vamm sitt vita. mega s n ekki vi. mega ekki hugsa til. mega ekki. be. mega betur. a. powerful. mega -. not. megna. mega vera a. lot. mega s n mikils. ver a. hafa leyfi til. mega til. m vera.

jes;	yes

jet;	The color of jet coal, deep gray. A hard, black form of coal, sometimes used in jewellery. A part of a carburetor that controls the amount of fuel mixed with the air. An engine that propels a vehicle using a stream of fluid as propulsion. To move running, walking etc. rapidly around throw To spray out of a container. A type of airplane using jet engines rather than propellors. A collimated stream, spurt or flow of liquid or gas from a pressurized container, an engine, etc. spurt, spout Propelled by turbine engines. to go by vehicle To travel on a jet aircraft or otherwise by jet propulsion Of a very dark black in color. A narrow cone of hadrons and other particles produced by the hadronization of a quark or gluon. to ride A spout or nozzle for creating a jet of fluid. jet airplane zajet. projet. objet. p ejet. colors. podjet. nadjet. vjet. jeter. rozjet. dojet. ujet. t. ing. jet. blacks.

answer;	Reply to an email. reply To respond to a call by someone at a door or telephone, or other similar piece of equipment. To file a document in response to a complaint. To suit a need or purpose satisfactorily. A solution to a problem. To correspond to. to be in harmony with. to be in agreement with. To make a reply or response to. A document filed in response to a complaint, responding to each point raised in the complaint and raising counterpoints. A response. something said or done in reaction to a statement or question. Her answer to his proposal was a slap in the face. He answered the question. There is no simple answer to curbing corruption. It answers the need. She answered the door. I wish she had answered her picture as well. Theobald spoke as if watches had half-a-dozen purposes besides time-keeping, but he could hardly open his mouth without using one or other of his tags, and answering every purpose was one of them. question. ask. communication.

pinto;	spotted, pinto, blotchy Pied, mottled. drunk door A horse with a patchy coloration that includes white. peak, summit. point A meal served for lunch or dinner based on gallo pinto but also with a type of meat and possibly some extras. penis turkey clever, cunning a young chicken, While Profane, dreamy, went on to tell of his nights with the Alligator Patrol, and how he d hunted one pinto beast through Fairing s Parish. cornered and killed it in a chamber lit by some frightening radiance. Thomas Pynchon, V. Pinto sempre noite. I always paint at night. Eu pinto. I paint. montopinto. american paint horse. pinto bean. galledinio. gallarinio.

