A1	12	8	12	48	12	4	8	
A2	12	8	8	24	8	4	4	
A3	12	8	8	16	8	4	0	
A4	16	8	16	32	16	4	4	
A5	20	12	20	44	20	4	4	
A6	28	12	32	56	28	4	4	
A7	64	32	84	128	68	8	8	
A8	76	68	96	216	80	0	4	
A9	444	100	548	756	480	0	4	
A10	692	188	836	1516	744	4	8	
A11	1568	404	1908	2948	1652	8	4	
A12	1240	640	1516	3712	1312	4	4	
A13	1516	836	1888	5216	1616	4	4	
A14	2632	740	3144	11056	2732	8	4	
A15	5624	1088	6820	15488	5972	4	8	
A16	5132	2688	5884	22649	5168	4	4	
A17	8680	1656	10492	28125	8820	4	4	
A18	12772	4436	15400	39614	13260	4	4	
A19	11412	5676	13528	40306	11592	8	4	
A20	18653	5680	22045	50379	19225	4	4	
A21	21781	6336	25769	57299	22317	0	8	
A22	14996	6208	17457	73848	15000	8	8	
A23	38530	4540	45562	83285	39422	4	8	
A24	21561	5324	25197	73028	21593	4	8	
